,City,City Id,Country,Latitude,Longitude,Max_Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,stokmarknes,3136690,NO,68.56,14.91,2.22,92,88,4.02
1,kruisfontein,986717,ZA,-34.0,24.73,19.09,83,88,1.96
2,brae,2654970,GB,60.4,-1.35,5.0,80,92,12.9
3,punta arenas,3874787,CL,-53.16,-70.91,12.0,76,75,7.2
4,busselton,2075265,AU,-33.64,115.35,21.67,32,12,7.06
5,hasaki,2112802,JP,35.73,140.83,12.78,25,20,7.7
6,vila franca do campo,3372472,PT,37.72,-25.43,12.78,81,75,8.7
7,esperance,3573739,TT,10.24,-61.45,25.56,78,20,4.1
8,bluff,2175403,AU,-23.58,149.07,32.59,48,0,3.71
9,kapaa,5848280,US,22.08,-159.32,26.0,83,75,10.3
10,vardo,4372777,US,39.62,-77.74,7.0,33,1,3.1
11,albany,5106834,US,42.65,-73.75,0.56,68,1,6.2
12,rikitea,4030556,PF,-23.12,-134.97,26.19,99,80,8.16
13,khatanga,2022572,RU,71.98,102.47,-23.27,34,0,2.71
14,chuy,3443061,UY,-33.69,-53.46,17.89,92,0,5.81
15,tasiilaq,3424607,GL,65.61,-37.64,-12.0,55,0,1.0
16,mataura,6201424,NZ,-46.19,168.86,21.11,80,76,1.34
17,sur,286245,OM,22.57,59.53,21.84,99,44,0.51
18,new norfolk,2155415,AU,-42.78,147.06,22.22,56,40,4.1
19,sao joao da barra,3448903,BR,-21.64,-41.05,27.04,97,32,4.86
20,ushuaia,3833367,AR,-54.81,-68.31,11.0,71,20,8.7
21,castro,3896218,CL,-42.48,-73.76,11.0,87,90,2.6
22,ilesha,2326168,NG,7.14,5.26,24.64,82,80,2.81
23,hobart,2163355,AU,-42.88,147.33,22.22,56,40,4.1
24,saint-augustin,3031582,FR,44.83,-0.61,9.44,87,0,1.16
25,port hedland,2063042,AU,-20.31,118.58,27.0,88,75,21.1
26,waingapu,1622318,ID,-9.65,120.26,28.44,80,64,4.91
27,vaini,1273574,IN,15.34,74.49,25.0,25,0,2.1
28,kuvandyk,538138,RU,51.48,57.35,-4.27,84,76,1.11
29,east london,1006984,ZA,-33.02,27.91,24.24,91,0,9.71
30,shirokiy,512255,RU,53.87,39.17,-3.89,87,0,1.26
31,ailigandi,3714956,PA,9.23,-78.02,25.44,78,92,3.91
32,rocha,3440777,UY,-34.48,-54.34,16.29,71,0,3.66
33,saint-philippe,6138908,CA,45.36,-73.48,0.0,78,1,4.6
34,lata,1253628,IN,30.78,78.62,9.74,57,0,0.91
35,port alfred,964432,ZA,-33.59,26.89,23.89,96,68,5.41
36,namibe,3347019,AO,-15.19,12.15,25.59,100,88,0.61
37,victoria,1733782,BN,5.28,115.24,31.0,70,75,1.5
38,leshukonskoye,535839,RU,64.9,45.76,0.29,81,92,4.36
